,Label_Name,Label_Count,Labels_Detected,Detection_Accuracy,Fuzzy_Match_Percentage,Complete_Match_Count_Detected,Complete_Match_Count,Complete_Match_Percentage
0,beneficiary_account_number,4,0,0.0,0.0,0.0,0,0.0
1,beneficiary_address,4,4,100.0,0.0,0.0,0,0.0
2,beneficiary_bank_country,4,0,0.0,0.0,0.0,0,0.0
3,beneficiary_bank_identifier,4,0,0.0,0.0,0.0,0,0.0
4,beneficiary_bank_name,4,0,0.0,0.0,0.0,0,0.0
5,beneficiary_country,4,0,0.0,0.0,0.0,0,0.0
6,beneficiary_drawer_exporter_seller_supplier_name,4,4,100.0,79.25,0.25,1,25.0
7,beneficiary_drawer_exporter_seller_supplier_tin,4,0,0.0,0.0,0.0,0,0.0
8,beneficiary_iban_number,4,0,0.0,0.0,0.0,0,0.0
9,bill_of_lading_date,4,0,0.0,0.0,0.0,0,0.0
10,bill_of_lading_no,4,0,0.0,0.0,0.0,0,0.0
11,consignee_address,4,0,0.0,0.0,0.0,0,0.0
12,consignee_country,4,0,0.0,0.0,0.0,0,0.0
13,cosignee_name,4,0,0.0,0.0,0.0,0,0.0
14,country_of_final_destination,4,2,50.0,0.0,0.0,0,0.0
15,country_of_origin_of_goods,8,4,50.0,50.0,1.0,4,50.0
16,date_of_invoice,4,4,100.0,80.0,1.0,4,100.0
17,declaration_by_issuer,4,4,100.0,84.0,0.75,3,75.0
18,delivery_terms,4,0,0.0,0.0,0.0,0,0.0
19,goods_description,4,4,100.0,79.0,0.75,3,75.0
20,incoterm,4,0,0.0,0.0,0.0,0,0.0
21,indicator_date,4,0,0.0,0.0,0.0,0,0.0
22,indicator_type,4,0,0.0,0.0,0.0,0,0.0
23,invoice_amount,4,4,100.0,100.0,1.0,4,100.0
24,invoice_amount_in_words,4,4,100.0,97.75,1.0,4,100.0
25,invoice_currency,4,0,0.0,0.0,0.0,0,0.0
26,invoice_due_date,4,0,0.0,0.0,0.0,0,0.0
27,invoice_no,4,4,100.0,81.0,0.5,2,50.0
28,lc_date,4,4,100.0,77.5,0.75,3,75.0
29,lc_ref_no,4,4,100.0,98.0,1.0,4,100.0
30,port_of_discharge,4,0,0.0,0.0,0.0,0,0.0
31,port_of_loading,4,0,0.0,0.0,0.0,0,0.0
32,rate_per_unit,4,0,0.0,0.0,0.0,0,0.0
33,remitter_address,4,4,100.0,84.5,1.0,4,100.0
34,remitter_country,4,2,50.0,0.0,0.0,0,0.0
35,remitter_drawee_applicant_importer_buyer_name,4,4,100.0,91.75,1.0,4,100.0
36,tenor_indicator,4,0,0.0,0.0,0.0,0,0.0
37,tenor_type,4,0,0.0,0.0,0.0,0,0.0
38,total_quantity_of_goods,4,0,0.0,0.0,0.0,0,0.0
39,usance_tenor,4,0,0.0,0.0,0.0,0,0.0
40,vessel_flight_no,4,0,0.0,0.0,0.0,0,0.0
41,OVERALL,168,56,33.33333333333333,25.06547619047619,0.7142857142857143,40,0.23809523809523808
